127.0.0.1 - - [16/Apr/2024:08:53:52 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Apr/2024:08:53:54 +0545] "GET /PixlePrinter/pages/AddToCart.jsp HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [16/Apr/2024:08:53:54 +0545] "GET /PixlePrinter/pages/addtocart.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/Apr/2024:08:53:54 +0545] "GET /PixlePrinter/pages/addtocart.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [16/Apr/2024:08:53:55 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Apr/2024:08:55:58 +0545] "GET /PixlePrinter/pages/AddToCart.jsp HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [16/Apr/2024:08:55:58 +0545] "GET /PixlePrinter/css/AddToCart.css HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [16/Apr/2024:08:55:58 +0545] "GET /PixlePrinter/pages/addtocart.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [16/Apr/2024:08:57:36 +0545] "GET /PixlePrinter/pages/AddToCart.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [16/Apr/2024:08:57:36 +0545] "GET /PixlePrinter/css/AddToCart.css HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [16/Apr/2024:08:57:36 +0545] "GET /PixlePrinter/js/AddToCart.js HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [16/Apr/2024:08:57:39 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Apr/2024:09:02:30 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4484
0:0:0:0:0:0:0:1 - - [16/Apr/2024:09:02:30 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [16/Apr/2024:09:02:30 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/Apr/2024:09:02:30 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [16/Apr/2024:09:02:30 +0545] "GET /PixlePrinter/Images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2024:09:02:30 +0545] "GET /PixlePrinter/Images/Product1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2024:09:02:30 +0545] "GET /PixlePrinter/css/Style.css HTTP/1.1" 304 -
