0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:17 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:17 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:17 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:17 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:10:18 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
